montage,windowed_f1,windowed_sensitivity,windowed_precision,windowed_n_pos,windowed_n_total,file_f1,file_sensitivity,file_precision,file_n_pos,file_n_total,n_errors
full,0.44573643410852715,0.37337662337662336,0.5528846153846154,308,3280,0.8,0.6666666666666666,1.0,3,6,0
uneeg_left_front,0.0,0.0,0.0,308,3280,0.0,0.0,0.0,3,6,0
uneeg_left_back,0.04361370716510903,0.022727272727272728,0.5384615384615384,308,3280,0.0,0.0,0.0,3,6,0
uneeg_right_front,0.0,0.0,0.0,308,3280,0.0,0.0,0.0,3,6,0
uneeg_right_back,0.0,0.0,0.0,308,3280,0.0,0.0,0.0,3,6,0
uneeg_bilateral_back2,0.20396600566572237,0.11688311688311688,0.8,308,3280,0.5,0.3333333333333333,1.0,3,6,0
uneeg_bilateral_front2,0.05,0.025974025974025976,0.6666666666666666,308,3280,0.0,0.0,0.0,3,6,0
uneeg_vert_left,0.030456852791878174,0.01948051948051948,0.06976744186046512,308,3280,0.0,0.0,0.0,3,6,0
uneeg_vert_right,0.01910828025477707,0.00974025974025974,0.5,308,3280,0.0,0.0,0.0,3,6,0
uneeg_diag_left_front,0.26359832635983266,0.20454545454545456,0.37058823529411766,308,3280,0.5,0.3333333333333333,1.0,3,6,0
uneeg_diag_left_back,0.0,0.0,0.0,308,3280,0.0,0.0,0.0,3,6,0
uneeg_diag_right_front,0.14035087719298245,0.1038961038961039,0.21621621621621623,308,3280,0.0,0.0,0.0,3,6,0
uneeg_diag_right_back,0.10843373493975904,0.05844155844155844,0.75,308,3280,0.5,0.3333333333333333,1.0,3,6,0
uneeg_diag_bilateral_front,0.3333333333333333,0.4025974025974026,0.28440366972477066,308,3280,1.0,1.0,1.0,3,6,0
uneeg_diag_bilateral_back,0.26495726495726496,0.2012987012987013,0.3875,308,3280,1.0,1.0,1.0,3,6,0
uneeg_vert_bilateral,0.04229607250755287,0.022727272727272728,0.30434782608695654,308,3280,0.5,0.3333333333333333,1.0,3,6,0
epiminder_2,0.06289308176100629,0.032467532467532464,1.0,308,3280,0.0,0.0,0.0,3,6,0
ceribell,0.3707995365005794,0.5194805194805194,0.2882882882882883,308,3280,0.6666666666666666,0.6666666666666666,0.6666666666666666,3,6,0
