montage,n_files,file_fp_count,file_fp_rate,n_windows,window_fp_count,window_fp_rate,n_errors
full,297,62,0.20875420875420875,175527,5697,0.032456545146900474,0
uneeg_left_front,297,0,0.0,175527,204,0.0011622143601839033,0
uneeg_left_back,297,28,0.09427609427609428,175527,2138,0.012180462265064635,0
uneeg_right_front,297,3,0.010101010101010102,175527,286,0.0016293789559440998,0
uneeg_right_back,297,33,0.1111111111111111,175527,2583,0.014715684766446187,0
uneeg_bilateral_back2,297,108,0.36363636363636365,175527,7055,0.04019324662302666,0
uneeg_bilateral_front2,297,62,0.20875420875420875,175527,3829,0.02181430777031454,0
uneeg_vert_left,297,36,0.12121212121212122,175527,4151,0.023648783378055798,0
uneeg_vert_right,297,46,0.15488215488215487,175527,4348,0.024771117833723585,0
uneeg_diag_left_front,297,56,0.18855218855218855,175527,7982,0.04547448540680351,0
uneeg_diag_left_back,297,38,0.12794612794612795,175527,1910,0.010881516803682625,0
uneeg_diag_right_front,297,67,0.2255892255892256,175527,9537,0.05433352133859748,0
uneeg_diag_right_back,297,40,0.13468013468013468,175527,2194,0.012499501501193548,0
uneeg_diag_bilateral_front,297,98,0.32996632996632996,175527,12983,0.07396582861895891,0
uneeg_diag_bilateral_back,297,109,0.367003367003367,175527,8528,0.04858511795906043,0
uneeg_vert_bilateral,297,63,0.21212121212121213,175527,5741,0.032707218832430336,0
epiminder_2,297,23,0.07744107744107744,175527,1038,0.0059136201268180965,0
ceribell,297,129,0.43434343434343436,175527,30129,0.17164880616657266,0
