montage,n_files,file_fp_count,file_fp_rate,n_windows,window_fp_count,window_fp_rate,n_errors
full,3,0,0.0,1773,5,0.0028200789622109417,0
uneeg_left_front,3,0,0.0,1773,0,0.0,0
uneeg_left_back,3,0,0.0,1773,0,0.0,0
uneeg_right_front,3,0,0.0,1773,1,0.0005640157924421884,0
uneeg_right_back,3,0,0.0,1773,8,0.0045121263395375075,0
uneeg_bilateral_back2,3,0,0.0,1773,0,0.0,0
uneeg_bilateral_front2,3,0,0.0,1773,2,0.0011280315848843769,0
uneeg_vert_left,3,0,0.0,1773,1,0.0005640157924421884,0
uneeg_vert_right,3,0,0.0,1773,0,0.0,0
uneeg_diag_left_front,3,0,0.0,1773,0,0.0,0
uneeg_diag_left_back,3,0,0.0,1773,2,0.0011280315848843769,0
uneeg_diag_right_front,3,0,0.0,1773,4,0.0022560631697687537,0
uneeg_diag_right_back,3,0,0.0,1773,1,0.0005640157924421884,0
uneeg_diag_bilateral_front,3,0,0.0,1773,1,0.0005640157924421884,0
uneeg_diag_bilateral_back,3,0,0.0,1773,50,0.02820078962210942,0
uneeg_vert_bilateral,3,0,0.0,1773,0,0.0,0
epiminder_2,3,0,0.0,1773,0,0.0,0
ceribell,3,1,0.3333333333333333,1773,66,0.03722504230118443,0
